"Servers=2, numjobs =100000, Margin = 0.1, joblen = 1 ",,,,,,,,,,,,,,,,,,,
Experiment ID,No. Servers,No. Jobs,Job mean length,Statistical margin,Queue policy,Memory size,Distrbution factor,Load,LP Queue max length,LP Queue average length,LP Jobs average time in system,HP Queue max length,HP Queue average length,HP Jobs average time in system,HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE,HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION,HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE,HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED,HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED
0,2,100000,1,0.1,INFINITE,0,0,0.1,3,0.00487984,0.03741331,2,0.00567154,0.01815153,0,0.91629895,0,0,0.08370105
1,2,100000,1,0.1,INFINITE,0,0,0.2,6,0.01928978,0.06996738,5,0.02375968,0.06356528,0,0.8878361,0,0,0.1121639
2,2,100000,1,0.1,INFINITE,0,0,0.3,6,0.04856169,0.11868974,5,0.05979448,0.13751573,0,0.86577749,0,0,0.13422251
3,2,100000,1,0.1,INFINITE,0,0,0.4,10,0.10253938,0.19799384,9,0.12322842,0.24734481,0,0.84908249,0,0,0.15091751
4,2,100000,1,0.1,INFINITE,0,0,0.5,9,0.18901469,0.31237207,9,0.21991122,0.38822857,0,0.83790297,0,0,0.16209703
5,2,100000,1,0.1,INFINITE,0,0,0.6,10,0.35274312,0.50753863,10,0.38911573,0.59890762,0,0.83177915,0,0,0.16822085
6,2,100000,1,0.1,INFINITE,0,0,0.7,13,0.64851862,0.84408347,13,0.68600936,0.94366262,0,0.83059253,0,0,0.16940747
7,2,100000,1,0.1,INFINITE,0,0,0.8,18,1.23822797,1.4553079,18,1.2559,1.54558723,0,0.83453074,0,0,0.16546926
8,2,100000,1,0.1,INFINITE,0,0,0.9,26,2.92969478,3.14041068,26,2.88244042,3.19499514,0,0.84398833,0,0,0.15601167
9,2,100000,1,0.1,INFINITE,0,0,1,390,115.3689772,115.8558637,390,115.33578,115.8577642,0,0.85926824,0,0,0.14073176
