Experiment ID,No. Servers,No. Jobs,Job mean length,Statistical margin,Queue policy,Memory size,Distrbution factor,Load,LP Queue max length,LP Queue average length,LP Jobs average time in system,HP Queue max length,HP Queue average length,HP Jobs average time in system,HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE,HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION,HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE,HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED,HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED
0,2,100000,1,0.1,INFINITE,0,0,0.05,3,0.00123793,0.02111445,2,0.0013351,0.00475595,0,0.95389942,0,0,0.04610058
1,2,100000,1,0.1,INFINITE,0,0,0.1,3,0.00456534,0.03540931,3,0.00544881,0.0172406,0,0.93595545,0,0,0.06404455
2,2,100000,1,0.1,INFINITE,0,0,0.15,3,0.01053758,0.05285363,3,0.01278247,0.03805088,0,0.91901149,0,0,0.08098851
3,2,100000,1,0.1,INFINITE,0,0,0.2,3,0.01935546,0.07037251,4,0.02390238,0.06435991,0,0.90413318,0,0,0.09586682
4,2,100000,1,0.1,INFINITE,0,0,0.25,4,0.03146282,0.09106313,4,0.03971551,0.09716895,0,0.89057613,0,0,0.10942387
5,2,100000,1,0.1,INFINITE,0,0,0.3,6,0.04870855,0.11797072,5,0.06038797,0.13736873,0,0.87904432,0,0,0.12095568
6,2,100000,1,0.1,INFINITE,0,0,0.35,5,0.06977674,0.1506859,5,0.08577659,0.18548739,0,0.868918,0,0,0.131082
7,2,100000,1,0.1,INFINITE,0,0,0.4,7,0.10354836,0.20048939,8,0.12364987,0.24837246,0,0.86020763,0,0,0.13979237
8,2,100000,1,0.1,INFINITE,0,0,0.45,7,0.14119046,0.25013725,7,0.16670012,0.31147914,0,0.85297177,0,0,0.14702823
9,2,100000,1,0.1,INFINITE,0,0,0.5,7,0.19281804,0.31844653,8,0.22434215,0.39249799,0,0.84681434,0,0,0.15318566
10,2,100000,1,0.1,INFINITE,0,0,0.55,9,0.26170653,0.40349738,9,0.29553199,0.48731129,0,0.84226053,0,0,0.15773947
11,2,100000,1,0.1,INFINITE,0,0,0.6,9,0.35261114,0.51075452,8,0.38953899,0.60126218,0,0.83898549,0,0,0.16101451
12,2,100000,1,0.1,INFINITE,0,0,0.65,14,0.48102762,0.6579089,13,0.51666085,0.75482808,0,0.83687585,0,0,0.16312415
13,2,100000,1,0.1,INFINITE,0,0,0.7,12,0.63759059,0.82169186,11,0.67324078,0.92050227,0,0.83583991,0,0,0.16416009
14,2,100000,1,0.1,INFINITE,0,0,0.75,12,0.87434025,1.07953562,12,0.90434064,1.17800962,0,0.83598212,0,0,0.16401788
15,2,100000,1,0.1,INFINITE,0,0,0.8,13,1.22755269,1.44042209,13,1.2431084,1.53048815,0,0.83766125,0,0,0.16233875
16,2,100000,1,0.1,INFINITE,0,0,0.85,18,1.81019444,2.02942021,18,1.80188828,2.10490161,0,0.84071419,0,0,0.15928581
17,2,100000,1,0.1,INFINITE,0,0,0.9,24,2.91299168,3.10220279,23,2.86191508,3.15428637,0,0.84530848,0,0,0.15469152
18,2,100000,1,0.1,INFINITE,0,0,0.95,35,5.89437417,6.06576054,35,5.78838397,6.09276149,0,0.85134025,0,0,0.14865975
19,2,100000,1,0.1,INFINITE,0,0,1,450,166.8639735,166.8749493,450,166.7690434,166.8768124,0,0.85862073,0,0,0.14137927
