"Servers=20, numjobs =100000, Margin = 0.1, joblen = 1 ",,,,,,,,,,,,,,,,,,,
Experiment ID,No. Servers,No. Jobs,Job mean length,Statistical margin,Queue policy,Memory size,Distrbution factor,Load,LP Queue max length,LP Queue average length,LP Jobs average time in system,HP Queue max length,HP Queue average length,HP Jobs average time in system,HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE,HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION,HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE,HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED,HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED
0,20,100000,1,0.1,INFINITE,0,0,0.1,4,0.0051273,0.04268827,4,0.0071331,0.04649611,0,0.94247428,0,0,0.05752572
1,20,100000,1,0.1,INFINITE,0,0,0.2,5,0.02431917,0.09404131,5,0.03156718,0.11751355,0,0.91949899,0,0,0.08050101
2,20,100000,1,0.1,INFINITE,0,0,0.3,5,0.06330883,0.15959428,5,0.07766312,0.2128947,0,0.89972375,0,0,0.10027625
3,20,100000,1,0.1,INFINITE,0,0,0.4,6,0.13355936,0.2632435,7,0.1583843,0.34452966,0,0.88246728,0,0,0.11753272
4,20,100000,1,0.1,INFINITE,0,0,0.5,7,0.26023908,0.42908231,8,0.29370826,0.53345139,0,0.86839085,0,0,0.13160915
5,20,100000,1,0.1,INFINITE,0,0,0.6,7,0.46330516,0.67457844,10,0.50138434,0.78813434,0,0.85866907,0,0,0.14133093
6,20,100000,1,0.1,INFINITE,0,0,0.7,9,0.83453622,1.08243486,15,0.86714087,1.19301244,0,0.85312138,0,0,0.14687862
7,20,100000,1,0.1,INFINITE,0,0,0.8,12,1.65586991,1.96453453,19,1.66752071,2.05747055,0,0.8527091,0,0,0.1472909
8,20,100000,1,0.1,INFINITE,0,0,0.9,16,3.92981957,4.22306176,29,3.87056975,4.27753737,0,0.85942741,0,0,0.14057259
9,20,100000,1,0.1,INFINITE,0,0,1,84,40.43049487,40.61620711,152,40.41697925,40.62142756,0,0.87267841,0,0,0.12732159
