"Experiment ID","No. Servers","No. Jobs","Job mean length","Statistical margin","Queue policy","Memory size","Distrbution factor","Load","LP Queue max length","LP Queue average length","LP Jobs average time in system","HP Queue max length","HP Queue average length","HP Jobs average time in system","HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE","HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION","HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE","HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED","HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED"
"0","20","100000","1.00000000","0.10000000","FINITE","6","0.00000000","0.90000000","6","2.12839357","2.35460709","0","0.00000000","0.00000000","0.08288854","0","0","0.91711146","0"
"1","20","100000","1.00000000","0.10000000","FINITE","6","0.05000000","0.90000000","6","2.14081109","2.37374750","0","0.00000000","0.00000000","0.08162602","0","0","0.91837398","0"
"2","20","100000","1.00000000","0.10000000","FINITE","6","0.10000000","0.90000000","5","3.50102987","3.97693104","1","0.37151222","0.41239510","0.18395230","0.36887961","0.24236553","0.19516494","0.00963762"
"3","20","100000","1.00000000","0.10000000","FINITE","6","0.15000000","0.90000000","5","3.50176919","4.00321272","1","0.37212165","0.41604332","0.18375230","0.37136714","0.24006550","0.19543994","0.00937512"
"4","20","100000","1.00000000","0.10000000","FINITE","6","0.20000000","0.90000000","5","3.49677355","3.96333369","1","0.37106915","0.41131216","0.18331479","0.36697959","0.24577807","0.19451493","0.00941262"
"5","20","100000","1.00000000","0.10000000","FINITE","6","0.25000000","0.90000000","4","2.59636873","2.88733948","2","0.77455352","0.85451872","0.10707634","0.45595570","0.29059113","0.11898899","0.02738784"
"6","20","100000","1.00000000","0.10000000","FINITE","6","0.30000000","0.90000000","4","2.60625909","2.90061893","2","0.77394046","0.85442792","0.10806385","0.45154314","0.29445368","0.11788897","0.02805035"
"7","20","100000","1.00000000","0.10000000","FINITE","6","0.35000000","0.90000000","4","2.65163807","2.94941674","2","0.77751841","0.85608640","0.10841386","0.44844311","0.30135377","0.11620145","0.02558782"
"8","20","100000","1.00000000","0.10000000","FINITE","6","0.40000000","0.90000000","4","2.59918582","2.90181535","2","0.77035227","0.85165490","0.10873886","0.45174315","0.29402868","0.11696396","0.02852536"
"9","20","100000","1.00000000","0.10000000","FINITE","6","0.45000000","0.90000000","3","1.90221540","2.09546377","3","1.12488530","1.23844720","0.08391355","0.43918049","0.35431693","0.07516344","0.04742559"
"10","20","100000","1.00000000","0.10000000","FINITE","6","0.50000000","0.90000000","3","1.89904501","2.09572322","3","1.11272595","1.22542120","0.08261353","0.44378055","0.35144189","0.07550094","0.04666308"
"11","20","100000","1.00000000","0.10000000","FINITE","6","0.55000000","0.90000000","3","1.91052303","2.11693620","3","1.11631499","1.23542798","0.08286354","0.43685546","0.35724197","0.07722597","0.04581307"
"12","20","100000","1.00000000","0.10000000","FINITE","6","0.60000000","0.90000000","2","1.25953396","1.38338266","4","1.42513751","1.57517540","0.06992587","0.35967950","0.46189327","0.04370055","0.06480081"
"13","20","100000","1.00000000","0.10000000","FINITE","6","0.65000000","0.90000000","2","1.24719489","1.36004020","4","1.42256018","1.55908985","0.07185090","0.36445456","0.45326817","0.04383805","0.06658833"
"14","20","100000","1.00000000","0.10000000","FINITE","6","0.70000000","0.90000000","2","1.24507960","1.36525099","4","1.42427825","1.57094809","0.06910086","0.36711709","0.45391817","0.04318804","0.06667583"
"15","20","100000","1.00000000","0.10000000","FINITE","6","0.75000000","0.90000000","1","0.65045824","0.71751003","5","1.72714405","1.90746173","0.06667583","0.20556507","0.64180802","0.01932524","0.06662583"
"16","20","100000","1.00000000","0.10000000","FINITE","6","0.80000000","0.90000000","1","0.64317344","0.70529643","5","1.74544975","1.92741303","0.06646333","0.20819010","0.63829548","0.01978775","0.06726334"
"17","20","100000","1.00000000","0.10000000","FINITE","6","0.85000000","0.90000000","1","0.63666128","0.69533217","5","1.72595848","1.90491787","0.06421330","0.21574020","0.63304541","0.01913774","0.06786335"
"18","20","100000","1.00000000","0.10000000","FINITE","6","0.90000000","0.90000000","1","0.63886003","0.70173615","5","1.73045553","1.91251963","0.06453831","0.21224015","0.63379542","0.02073776","0.06868836"
"19","20","100000","1.00000000","0.10000000","FINITE","6","0.95000000","0.90000000","0","0.00000000","0.00000000","6","2.13453153","2.37468890","0.08398855","0","0.91601145","0","0"
"20","20","100000","1.00000000","0.10000000","FINITE","6","1.00000000","0.90000000","0","0.00000000","0.00000000","6","2.15597895","2.38706931","0.08340104","0","0.91659896","0","0"
