"Experiment ID","No. Servers","No. Jobs","Job mean length","Statistical margin","Queue policy","Memory size","Distrbution factor","Load","LP Queue max length","LP Queue average length","LP Jobs average time in system","HP Queue max length","HP Queue average length","HP Jobs average time in system","HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE","HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION","HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE","HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED","HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED"
"0","20","100000","1.00000000","0.10000000","FINITE","6","0.00000000","0.95000000","6","2.39948008","2.51126546","0","0.00000000","0.00000000","0.10467631","0","0","0.89532369","0"
"1","20","100000","1.00000000","0.10000000","FINITE","6","0.05000000","0.95000000","6","2.41432140","2.54673150","0","0.00000000","0.00000000","0.10811385","0","0","0.89188615","0"
"2","20","100000","1.00000000","0.10000000","FINITE","6","0.10000000","0.95000000","5","3.66328815","3.90269003","1","0.38540944","0.40225607","0.20809010","0.34259178","0.25756572","0.18428980","0.00746259"
"3","20","100000","1.00000000","0.10000000","FINITE","6","0.15000000","0.95000000","5","3.69425200","3.95423490","1","0.38708557","0.40568881","0.21280266","0.33485419","0.26240328","0.18238978","0.00755009"
"4","20","100000","1.00000000","0.10000000","FINITE","6","0.20000000","0.95000000","5","3.67264214","3.94210139","1","0.38770153","0.40764643","0.20675258","0.33427918","0.26485331","0.18677733","0.00733759"
"5","20","100000","1.00000000","0.10000000","FINITE","6","0.25000000","0.95000000","4","2.83869014","2.98179819","2","0.82491406","0.85934875","0.13570170","0.39069238","0.34011675","0.11191390","0.02157527"
"6","20","100000","1.00000000","0.10000000","FINITE","6","0.30000000","0.95000000","4","2.86161221","3.03304816","2","0.82793238","0.87084070","0.13776422","0.38765485","0.34511681","0.11017638","0.01928774"
"7","20","100000","1.00000000","0.10000000","FINITE","6","0.35000000","0.95000000","4","2.84516412","3.00163643","2","0.82363266","0.86375034","0.13631420","0.39105489","0.34021675","0.11111389","0.02130027"
"8","20","100000","1.00000000","0.10000000","FINITE","6","0.40000000","0.95000000","4","2.84785252","3.02487232","2","0.82488481","0.86936779","0.13578920","0.39380492","0.33912924","0.11138889","0.01988775"
"9","20","100000","1.00000000","0.10000000","FINITE","6","0.45000000","0.95000000","3","2.09596810","2.20539026","3","1.21048676","1.27249088","0.10896386","0.37014213","0.41106764","0.07325092","0.03657546"
"10","20","100000","1.00000000","0.10000000","FINITE","6","0.50000000","0.95000000","3","2.08925844","2.21198025","3","1.21188114","1.28033636","0.10931387","0.37594220","0.40680509","0.07215090","0.03578795"
"11","20","100000","1.00000000","0.10000000","FINITE","6","0.55000000","0.95000000","3","2.08068234","2.19322232","3","1.20534101","1.26997741","0.10712634","0.37702971","0.40545507","0.07387592","0.03651296"
"12","20","100000","1.00000000","0.10000000","FINITE","6","0.60000000","0.95000000","2","1.38951868","1.44985577","4","1.58084140","1.65403596","0.09560120","0.29885374","0.51378142","0.04242553","0.04933812"
"13","20","100000","1.00000000","0.10000000","FINITE","6","0.65000000","0.95000000","2","1.38111663","1.43561775","4","1.57770818","1.64447735","0.09437618","0.30391630","0.50739384","0.04465056","0.04966312"
"14","20","100000","1.00000000","0.10000000","FINITE","6","0.70000000","0.95000000","2","1.38907311","1.45772303","4","1.59168291","1.67408359","0.09606370","0.29972875","0.51183140","0.04412555","0.04825060"
"15","20","100000","1.00000000","0.10000000","FINITE","6","0.75000000","0.95000000","1","0.70473442","0.73537500","5","1.96095294","2.04935241","0.09027613","0.16912711","0.66539582","0.02182527","0.05337567"
"16","20","100000","1.00000000","0.10000000","FINITE","6","0.80000000","0.95000000","1","0.70090673","0.72967478","5","1.94297175","2.02774126","0.08903861","0.17271466","0.66234578","0.02102526","0.05487569"
"17","20","100000","1.00000000","0.10000000","FINITE","6","0.85000000","0.95000000","1","0.70481452","0.73539971","5","1.95389560","2.03961365","0.09012613","0.16730209","0.66762085","0.02112526","0.05382567"
"18","20","100000","1.00000000","0.10000000","FINITE","6","0.90000000","0.95000000","1","0.70067870","0.72971249","5","1.96167259","2.04759672","0.08843861","0.17035213","0.66515831","0.02167527","0.05437568"
"19","20","100000","1.00000000","0.10000000","FINITE","6","0.95000000","0.95000000","0","0.00000000","0.00000000","6","2.38470967","2.51645000","0.10358879","0","0.89641121","0","0"
"20","20","100000","1.00000000","0.10000000","FINITE","6","1.00000000","0.95000000","0","0.00000000","0.00000000","6","2.38124388","2.53353264","0.10438880","0","0.89561120","0","0"
