"Experiment ID","No. Servers","No. Jobs","Job mean length","Statistical margin","Queue policy","Memory size","Distrbution factor","Load","LP Queue max length","LP Queue average length","LP Jobs average time in system","HP Queue max length","HP Queue average length","HP Jobs average time in system","HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE","HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION","HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE","HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED","HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED"
"0","20","100000","1.00000000","0.10000000","FINITE","9","0.00000000","0.95000000","9","3.62318046","3.80621562","0","0.00000000","0.00000000","0.06888836","0","0","0.93111164","0"
"1","20","100000","1.00000000","0.10000000","FINITE","9","0.05000000","0.95000000","9","3.61571020","3.79906185","0","0.00000000","0.00000000","0.06906336","0","0","0.93093664","0"
"2","20","100000","1.00000000","0.10000000","FINITE","9","0.10000000","0.95000000","8","6.45510464","6.83825135","1","0.39481092","0.41364367","0.20940262","0.34424180","0.25621570","0.18845236","0.00168752"
"3","20","100000","1.00000000","0.10000000","FINITE","9","0.15000000","0.95000000","8","6.46481937","6.92053268","1","0.39116789","0.41341399","0.20991512","0.33944174","0.25706571","0.19163990","0.00193752"
"4","20","100000","1.00000000","0.10000000","FINITE","9","0.20000000","0.95000000","7","5.44838015","5.73511147","2","0.84312920","0.88327299","0.12963912","0.42051776","0.32039150","0.12261403","0.00683759"
"5","20","100000","1.00000000","0.10000000","FINITE","9","0.25000000","0.95000000","7","5.42462921","5.71765363","2","0.83955001","0.88202178","0.12956412","0.42521782","0.31702896","0.12100151","0.00718759"
"6","20","100000","1.00000000","0.10000000","FINITE","9","0.30000000","0.95000000","6","4.49800127","4.74441858","3","1.24277417","1.31085484","0.09918874","0.45891824","0.33541669","0.09327617","0.01320017"
"7","20","100000","1.00000000","0.10000000","FINITE","9","0.35000000","0.95000000","6","4.52694240","4.73766276","3","1.24379643","1.30353719","0.09650121","0.45919324","0.34051676","0.09192615","0.01186265"
"8","20","100000","1.00000000","0.10000000","FINITE","9","0.40000000","0.95000000","5","3.69961027","3.89361284","4","1.65164040","1.74511216","0.07868848","0.46164327","0.36659208","0.07038838","0.02268778"
"9","20","100000","1.00000000","0.10000000","FINITE","9","0.45000000","0.95000000","5","3.65246304","3.81849573","4","1.64926025","1.72880990","0.07803848","0.46911836","0.35911699","0.06988837","0.02383780"
"10","20","100000","1.00000000","0.10000000","FINITE","9","0.50000000","0.95000000","4","2.91079690","3.03536521","5","2.04167289","2.14801044","0.06693834","0.43866798","0.40785510","0.05073813","0.03580045"
"11","20","100000","1.00000000","0.10000000","FINITE","9","0.55000000","0.95000000","4","2.90315626","3.04775105","5","2.03100647","2.14567174","0.06645083","0.44375555","0.40430505","0.05093814","0.03455043"
"12","20","100000","1.00000000","0.10000000","FINITE","9","0.60000000","0.95000000","4","2.91727358","3.05359978","5","2.02601470","2.13806421","0.06647583","0.43630545","0.41246766","0.04992562","0.03482544"
"13","20","100000","1.00000000","0.10000000","FINITE","9","0.65000000","0.95000000","3","2.18951876","2.25790576","6","2.39189337","2.49697958","0.05902574","0.37726722","0.48391855","0.03321292","0.04657558"
"14","20","100000","1.00000000","0.10000000","FINITE","9","0.70000000","0.95000000","3","2.19425279","2.27713552","6","2.39004722","2.50172619","0.05882574","0.37631720","0.48500606","0.03466293","0.04518806"
"15","20","100000","1.00000000","0.10000000","FINITE","9","0.75000000","0.95000000","2","1.46415483","1.52260553","7","2.71131035","2.84990411","0.05476318","0.28140352","0.59008238","0.01996275","0.05378817"
"16","20","100000","1.00000000","0.10000000","FINITE","9","0.80000000","0.95000000","2","1.47583762","1.53612556","7","2.70901080","2.84335663","0.05480069","0.27224090","0.59899499","0.02016275","0.05380067"
"17","20","100000","1.00000000","0.10000000","FINITE","9","0.85000000","0.95000000","1","0.74722945","0.77773788","8","3.04088061","3.18658282","0.05568820","0.14616433","0.73769672","0.00996262","0.05048813"
"18","20","100000","1.00000000","0.10000000","FINITE","9","0.90000000","0.95000000","1","0.74707227","0.78043129","8","3.07574027","3.24472025","0.05363817","0.14685184","0.73985925","0.00980012","0.04985062"
"19","20","100000","1.00000000","0.10000000","FINITE","9","0.95000000","0.95000000","0","0.00000000","0.00000000","9","3.57855407","3.77317084","0.06792585","0","0.93207415","0","0"
"20","20","100000","1.00000000","0.10000000","FINITE","9","1.00000000","0.95000000","0","0.00000000","0.00000000","9","3.61216590","3.80515940","0.06872586","0","0.93127414","0","0"
